unemp,sippst,year,mth
5.3000002,12,1989,1
5.3000002,12,1989,2
5.4000001,12,1989,3
5.5,12,1989,4
5.5999999,12,1989,5
5.6999998,12,1989,6
5.6999998,12,1989,7
5.8000002,12,1989,8
5.8000002,12,1989,9
5.8000002,12,1989,10
5.8000002,12,1989,11
5.8000002,12,1989,12
5.8000002,12,1990,1
5.9000001,12,1990,2
5.9000001,12,1990,3
5.9000001,12,1990,4
5.9000001,12,1990,5
5.9000001,12,1990,6
5.9000001,12,1990,7
6,12,1990,8
6.0999999,12,1990,9
6.1999998,12,1990,10
6.3000002,12,1990,11
6.5,12,1990,12
6.5,12,1991,1
7.0999999,12,1991,2
7.3000002,12,1991,3
7.3000002,12,1991,4
7.4000001,12,1991,5
7.4000001,12,1991,6
7.4000001,12,1991,7
7.4000001,12,1991,8
7.5,12,1991,9
7.5999999,12,1991,10
7.6999998,12,1991,11
8.3000002,12,1991,12
8.3000002,12,1992,1
8.8000002,12,1992,2
8.6000004,12,1992,3
8.5,12,1992,4
8.5,12,1992,5
8.3999996,12,1992,6
8.5,12,1992,7
8.5,12,1992,8
8.5,12,1992,9
7.8000002,12,1992,10
7.5,12,1992,11
7.5,12,1992,12
7.3000002,12,1993,1
7.1999998,12,1993,2
7.0999999,12,1993,3
7,12,1993,4
7,12,1993,5
7,12,1993,6
7,12,1993,7
7,12,1993,8
6.9000001,12,1993,9
7,12,1993,10
7,12,1993,11
7,12,1993,12
6.9000001,12,1994,1
6.9000001,12,1994,2
6.9000001,12,1994,3
6.8000002,12,1994,4
6.8000002,12,1994,5
6.6999998,12,1994,6
6.5999999,12,1994,7
6.5,12,1994,8
6.4000001,12,1994,9
6.3000002,12,1994,10
6.0999999,12,1994,11
5.9000001,12,1994,12
5.8000002,12,1995,1
5.5999999,12,1995,2
5.4000001,12,1995,3
5.5,12,1995,4
5.5,12,1995,5
5.5,12,1995,6
5.5,12,1995,7
5.4000001,12,1995,8
5.5,12,1995,9
5.5,12,1995,10
5.4000001,12,1995,11
5.3000002,12,1995,12
5.3000002,12,1996,1
5.1999998,12,1996,2
5.0999999,12,1996,3
5.0999999,12,1996,4
5.0999999,12,1996,5
5,12,1996,6
5.0999999,12,1996,7
5,12,1996,8
5.0999999,12,1996,9
5,12,1996,10
5,12,1996,11
4.9000001,12,1996,12
4.9000001,12,1997,1
4.9000001,12,1997,2
4.9000001,12,1997,3
4.9000001,12,1997,4
4.8000002,12,1997,5
4.8000002,12,1997,6
4.8000002,12,1997,7
4.6999998,12,1997,8
4.6999998,12,1997,9
4.5999999,12,1997,10
4.5999999,12,1997,11
4.5999999,12,1997,12
4.5,12,1998,1
4.5,12,1998,2
4.4000001,12,1998,3
4.4000001,12,1998,4
4.3000002,12,1998,5
4.3000002,12,1998,6
4.3000002,12,1998,7
4.1999998,12,1998,8
4.1999998,12,1998,9
4.1999998,12,1998,10
4.0999999,12,1998,11
4.0999999,12,1998,12
4.0999999,12,1999,1
4,12,1999,2
4,12,1999,3
4,12,1999,4
3.9000001,12,1999,5
3.9000001,12,1999,6
3.8,12,1999,7
3.8,12,1999,8
3.7,12,1999,9
